                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.4902,                 2.2344,                 1.1874,                 1.2073,                0.39552,                0.24742,                0.22928,                0.10502,                0.40244,                0.21649,                0.18889,                0.08414,                 2.1743,                 3.5217,                 2.8978,                 1.8265,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.4942,                 2.2788,                 1.1248,                  1.219,                0.47665,                0.19588,                0.20706,                0.10745,                0.41649,                0.17526,                0.18172,                0.08021,                 2.0724,                 3.2756,                 2.9354,                 1.7354,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.4704,                 2.2143,                 1.1635,                 1.2156,                0.29289,                0.30928,                0.24197,                0.10862,                0.29437,                0.30928,                0.21744,                0.08946,                 2.2219,                  3.278,                 2.4194,                 1.7954,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.4532,                 2.3101,                 1.1065,                 1.2034,                0.30188,                0.40206,                0.23019,                0.09338,                 0.3484,                0.25773,                 0.1871,                0.07472,                 2.1574,                 3.4069,                 2.3847,                 1.7684,              0.0013565,              0.0013565,              0.0013565
                     68,                  1.409,                 2.2329,                 1.0367,                 1.1761,                0.29207,                0.47423,                0.27409,                0.10954,                0.37539,                0.26804,                0.23944,                0.08358,                 2.1595,                 3.2634,                 2.2925,                 1.7706,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.4014,                 2.2216,                 1.0419,                 1.1726,                0.45767,                0.26103,                 0.2631,                0.11263,                 0.4221,                0.23711,                0.23266,                0.08665,                 2.2306,                 3.1634,                 2.3891,                 1.8186,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.4101,                 2.1952,                 1.0486,                 1.1817,                0.33603,                0.23711,                0.20966,                 0.0986,                0.32758,                0.20619,                0.19001,                0.07674,                 2.2212,                 3.1467,                 2.9222,                 1.8362,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.3727,                 2.1493,                 1.0428,                 1.1701,                0.23968,                0.35052,                0.18789,                0.07225,                0.21393,                0.30928,                0.16306,                0.05845,                 2.2755,                 3.1018,                  2.815,                 1.9661,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.4153,                  2.322,                 1.0756,                 1.1676,                 0.2579,                0.26804,                0.14657,                0.05607,                0.27876,                0.25773,                0.14501,                0.05096,                 2.3146,                 3.0682,                 2.9645,                 2.0019,               0.001307,               0.001307,               0.001307
                     73,                  1.453,                 2.2193,                 1.0604,                 1.1851,                0.25265,                0.28866,                0.16982,                 0.0638,                0.25235,                0.24742,                0.15077,                0.05198,                 2.3003,                 3.1694,                 2.9478,                 1.9949,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.4994,                 2.2605,                 1.0815,                  1.211,                0.29068,                 0.2268,                0.14891,                   0.08,                0.44658,                0.14433,                0.12873,                0.07365,                 2.2926,                  3.452,                 3.1967,                 1.8909,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.4412,                 2.2214,                 1.0685,                 1.1913,                0.36319,                0.31752,                0.24426,                0.10507,                0.33456,                0.29027,                0.21782,                0.08583,                  2.186,                 3.1206,                  2.382,                 1.8954,              0.0012773,              0.0012773,              0.0012773
                     76,                  1.372,                 2.1348,                 1.0033,                 1.1763,                0.26941,                0.31959,                0.23747,                0.10153,                0.25351,                 0.2976,                0.20579,                0.08207,                 2.1021,                 3.0637,                 2.3997,                 1.8159,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.3679,                 2.1688,                 1.0228,                 1.1542,                 0.3316,                0.34269,                0.24651,                0.10178,                0.27709,                0.26804,                0.19317,                0.07515,                 2.1532,                 3.2399,                 2.5268,                 1.7842,              0.0012575,              0.0012575,              0.0012575
